Cluster,Service,Status,Domain,Squad,Comment,Public Facing,Github URL
WorldRemit Cluster03 Production,adyen-service,Live,Payments,PayIn,,,https://github.com/Zepz-Engineering/adyen-service
WorldRemit Cluster03 Production,backoffice-customer-replication-service,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/backoffice-customer-replication-service
WorldRemit Cluster02 Production,bff-authentication,Live,Identity,Authentication,,,https://github.com/Zepz-Engineering/bff-authentication
WorldRemit Cluster03 Production,bff-graphql-gateway,Live,Identity,Authentication,,,https://github.com/Zepz-Engineering/bff-graphql-gateway
WorldRemit Cluster03 Production,braze-service,Live,Identity,KYC,,,https://github.com/Zepz-Engineering/braze-service
WorldRemit Cluster02 Production,calculation-service,Live,Quote,,,,https://github.com/Zepz-Engineering/calculation-service
WorldRemit Cluster03 Production,calculation-service,Live,Quote,,,,https://github.com/Zepz-Engineering/calculation-service
Zepz Production Cluster,compliance-collector,Live,Identity,KYC,plan: rename to kyc-collector,,https://github.com/Zepz-Engineering/compliance-collector
Zepz Production Cluster,compliance-fco-integrator,Live,Identity,KYC,plan: rename to kyc-fco-integrator,,https://github.com/Zepz-Engineering/compliance-fco-integrator
Zepz Production Cluster,compliance-gateway,Live,Identity,KYC,plan: rename to kyc-gateway,,https://github.com/Zepz-Engineering/compliance-gateway
Zepz Production Cluster,compliance-trulioo-check,Live,Identity,KYC,plan: rename to kyc-trulioo-check,,https://github.com/Zepz-Engineering/compliance-trulioo-check
Zepz Production Cluster,compliance-zbo-integrator,Live,Identity,KYC,plan: rename to kyc-zbo-integrator,,https://github.com/Zepz-Engineering/compliance-zbo-integrator
WorldRemit Cluster03 Production,content-ingestion,Live,Fincrime,Screening,,,https://github.com/Zepz-Engineering/content-ingestion
WorldRemit Cluster03 Production,content-service,Live,Fincrime,Screening,,,https://github.com/Zepz-Engineering/content-service
WorldRemit Cluster03 Production,country-service,Live,Quote,,,,https://github.com/Zepz-Engineering/country-service
WorldRemit Cluster03 Production,coupon-api,Live,Quote,,,,https://github.com/Zepz-Engineering/coupon-api
WorldRemit Cluster03 Production,coupon-service-workers,Live,Quote,,,,https://github.com/Zepz-Engineering/coupon-service-workers
WorldRemit Cluster02 Production,customer-api,Live,Identity,KYC,,,https://github.com/Zepz-Engineering/customer-api
WorldRemit Cluster02 Production,customer-api-proxy,Live,Identity,KYC,,,https://github.com/Zepz-Engineering/customer-api-proxy
WorldRemit Cluster02 Production,customer-openid-provider,Live,Identity,Authentication,,,https://github.com/Zepz-Engineering/customer-openid-provider
WorldRemit Cluster02 Production,customer-pricing-service,Live,Quote,,,,https://github.com/Zepz-Engineering/customer-pricing-service
WorldRemit Cluster03 Production,customer-pricing-service,Live,Quote,,,,https://github.com/Zepz-Engineering/customer-pricing-service
WorldRemit Cluster03 Production,customer-verification-images,Live,Identity,KYC,,,https://github.com/Zepz-Engineering/customer-verification-images
WorldRemit Cluster03 Production,customercare-oauth2-proxy,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customercare-oauth2-proxy
WorldRemit Cluster03 Production,customerops-backoffice-ui,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customerops-backoffice-ui
WorldRemit Cluster03 Production,customerops-bff-service,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customerops-bff-service
WorldRemit Cluster03 Production,customerops-dictionary-service,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customerops-dictionary-service
WorldRemit Cluster03 Production,customerops-processapi-service,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customerops-processapi-service
WorldRemit Cluster03 Production,customerops-taskengine-service,Live,Customer Ops,,,,https://github.com/Zepz-Engineering/customerops-taskengine-service
